concepts,avg_feat_overlap_541,norm fam,KF,ln(KF),Length_Letters,epis_t,Length_Syllables,set
train,0.025,6.05,98,4.584967479,5,-0.49770735,1,5
corkscrew,0.052,5.6,3,1.098612289,9,3.758683188,2,5
tie,0.022,6.9,38,3.63758616,3,2.426285399,1,5
bungalow,0.026,4.3,1,0,8,0.526637511,3,6
cork,0.025,5.7,10,2.302585093,4,2.287635077,1,6
ashtray,0.020,5.6,1,0,7,0.782887243,2,6
strainer,0.053,6.7,1,0,8,6.554172529,2,6
biscuit,0.052,7.4,7,1.945910149,7,2.436164685,2,6
tack,0.056,6.4,4,1.386294361,4,3.822816592,1,6
thimble,0.050,3.85,1,0,7,4.493585756,2,6
birch,0.020,5.5,3,1.098612289,5,3.102406735,1,6
rabbit,0.053,6.05,16,2.772588722,6,0.643390641,2,6
tripod,0.021,3.45,4,1.386294361,6,1.630804766,2,6
banana,0.051,8.1,5,1.609437912,6,0.863295233,3,6
brick,0.020,7.4,24,3.17805383,5,1.349468439,1,6
pyramid,0.024,2.7,3,1.098612289,7,2.411688883,3,6
marble,0.052,6.2,24,3.17805383,6,0.847063384,2,6
ambulance,0.028,6.45,7,1.945910149,9,1.222891319,3,6
oven,0.027,7.5,8,2.079441542,4,3.173214846,2,6
seagull,0.053,6.7,1,0,7,5.19406291,2,6
lobster,0.050,5.85,1,0,7,2.143202753,2,6
table,0.052,8.95,242,5.488937726,5,-0.046500689,2,6
parka,0.021,4.6,1,0,5,1.912259081,2,6
toad,0.052,4.65,4,1.386294361,4,2.140339878,1,6
chain,0.051,7.05,60,4.094344562,5,0.47713585,1,6
raisin,0.053,6.55,1,0,6,2.291088121,2,6
inn,0.020,5.55,10,2.302585093,3,2.712650652,1,6
duck,0.053,5.2,13,2.564949357,4,0.12386841,1,6
turkey,0.052,5.5,10,2.302585093,6,2.321304224,2,6
blender,0.023,5.8,1,0,7,2.455419063,2,6
cigar,0.024,4.6,12,2.48490665,5,1.624695067,2,6
blouse,0.023,7.25,2,0.693147181,6,3.240091283,1,6
axe,0.026,4.6,25,3.218875825,3,1.464756238,1,6
